beerpos,beerneg,beerneut,winepos,wineneg,wineneut,waterpos,waterneg,waterneu,participant
1,6,5,38,-5,4,10,-14,-2,P1
43,30,8,20,-12,4,9,-10,-13,P2
15,15,12,20,-15,6,6,-16,1,P3
40,30,19,28,-4,0,20,-10,2,P4
8,12,8,11,-2,6,27,5,-5,P5
17,17,15,17,-6,6,9,-6,-13,P6
30,21,21,15,-2,16,19,-20,3,P7
34,23,28,27,-7,7,12,-12,2,P8
34,20,26,24,-10,12,12,-9,4,P9
26,27,27,23,-15,14,21,-6,0,P10
1,-19,-10,28,-13,13,33,-2,9,P11
7,-18,6,26,-16,19,23,-17,5,P12
22,-8,4,34,-23,14,21,-19,0,P13
30,-6,3,32,-22,21,17,-11,4,P14
40,-6,0,24,-9,19,15,-10,2,P15
15,-9,4,29,-18,7,13,-17,8,P16
20,-17,9,30,-17,12,16,-4,10,P17
9,-12,-5,24,-15,18,17,-4,8,P18
14,-11,7,34,-14,20,19,-1,12,P19
15,-6,13,23,-15,15,29,-1,10,P20
